案例标题,核心内容,来源链接,攻击类型,风险等级,受影响资产,处置结果
例,报系统页面无法访问。排查发现服务器存在异常命令执行记录，攻击者利用WebLogic Server 10.3.6的wls9-async组件漏洞(CVE-2017-10271)，结束关键进程并尝试下载病毒。关键证据:日志显示凌晨2:15有境外IP访问/async/AsyncResponseService路径，系统进程中存在未知java进程。处置:1. 紧急隔离服务器;2. 关闭漏洞组件;3. 安装官方补丁;4. 部署WAF拦截漏洞利用请求;5. 全量日志审计。系统恢复正常，未造成数据泄露。,article/details/157549313,,,,"
SQL注入导致数据泄露案,重庆某科技公司系统3306端口开放MySQL服务，未设置密码。攻击者利用弱密码漏洞，159次窃取系统数据。关键证据:数据库访问日志显示大量来自境外IP的登录记录，无密码验证成功。处置:1. 立即关闭3306端口外部访问;2. 设置强密码并限制IP访问;3. 部署数据库防火墙;4. 数据泄露评估;5. 员工安全培训。防止了进一步数据泄露，系统安全加固完成。,http://big5.china.com.cn/gate/big5/zw.china.com.cn/2025-09/17/content_118081390.shtml,Web攻击(SQL注入+弱密码),高,Web应用、数据库,成功处置，系统加固完成
目录遍历导致医学数据泄露案,山东某医学检验公司系统开启目录浏览功能，存在未授权访问漏洞。搜索引擎爬虫通过遍历请求爬取网站组织架构和文件。关键证据:Web服务器日志显示大量目录遍历请求，访问了敏感文件。处置:1. 关闭目录浏览功能;2. 配置防火墙拦截爬虫;3. 修复未授权访问漏洞;4. 留存6个月网络日志;5. 数据泄露排查。系统安全配置修复，未发现敏感医疗数据泄露。,http://m.toutiao.com/group/7550583360756318730/,Web攻击(目录遍历),中,Web服务器,成功处置，安全配置修复
XMR挖矿病毒入侵事件,某企业员工点击钓鱼邮件附件，导致Windows服务器感染XMR挖矿病毒。时间线:1. 9:20员工打开带宏病毒的Excel文件;2. 9:22下载挖矿程序;3. 9:25CPU占用率飙升至98%。关键证据:系统进程中存在名为"svchost.exe"的异常进程，C盘temp目录有挖矿程序，计划任务中存在异常定时任务。处置:1. 隔离服务器;2. 结束异常进程;3. 删除挖矿程序和计划任务;4. 修复系统漏洞;5. 部署EDR监控挖矿行为。服务器恢复正常，挖矿进程被彻底清除。,https://blog.csdn.net/m0_53721197/article/details/135809142,主机入侵(挖矿病毒),中,应用服务器,成功清除病毒，系统恢复正常
美情报机构内网横向渗透攻击案,2024年，美情报机构入侵中国大型商用密码产品提供商。攻击路径:1. 钓鱼邮件获取员工电脑控制权;2. 利用内网漏洞横向移动至CRM系统服务器;3. 窃取客户数据并删除日志。关键证据:系统中存在木马程序，通信数据加密，日志文件缺失部分记录。处置:1. 紧急隔离CRM系统;2. 清除木马程序;3. 恢复日志数据;4. 部署内网防火墙;5. 员工钓鱼邮件培训。成功阻止进一步数据窃取，系统安全加固完成。,http://news.china.com.cn/2025-04/28/content_117849225.shtml,内网横向移动,高,办公终端、CRM服务器,成功处置，阻止数据泄露
PyPI恶意包投毒导致内网横向移动,奇安信天问平台监测到PyPI恶意包，攻击者通过投毒窃取CI环境变量，进行内网资产探测与横向移动。关键证据:开发环境日志显示下载恶意包"django-utils-2026"，环境变量中API Token被读取。处置:1. 紧急下线恶意包;2. 轮换API Token和密钥;3. 部署软件供应链安全监测系统;4. 开发人员安全培训。成功阻止内网横向移动，未造成生产环境影响。,https://research.qianxin.com/archives/3253,内网横向移动(供应链攻击),,开发环境、CI服务器,成功处置，阻止横向移动
美国安局攻击国家授时中心案,2022年3月起，美国安局利用手机短信服务漏洞控制工作人员手机，2023年4月利用窃取的凭证入侵计算机，部署42款网攻武器，企图横向渗透至高精度地基授时系统。关键证据:系统中存在特种木马程序，网络流量中发现加密通信，服务器日志有异常登录记录。处置:1. 隔离受感染设备;2. 清除木马程序;3. 轮换所有登录凭证;4. 部署专用安全设备;5. 建立威胁监测体系。成功粉碎网攻图谋，保障国家授时系统安全。,https://www.iesdouyin.com/share/video/7563112118904556835,APT攻击,高,核心业务系统、终端,成功防御，未造成系统瘫痪
毒云藤APT组织攻击案,台湾APT组织"毒云藤"(APT-Q-20)自2007年起持续攻击大陆政府及军工机构。攻击路径:1. 钓鱼邮件投递恶意文档;2. 利用漏洞获取系统权限;3. 植入后门程序;4. 长期窃取敏感信息。关键证据:恶意文档中存在CVE-2017-11882漏洞利用代码，系统中发现"毒云藤"专属后门程序。处置:1. 全面排查受感染系统;2. 清除后门程序;3. 修复系统漏洞;4. 部署APT检测系统;5. 建立威胁情报共享机制。成功阻断攻击，清除后门程序。,https://www.iesdouyin.com/share/video/7483068295667567887,APT攻击,高,政府及军工系统,成功处置，清除后门程序
WebShell入侵导致数据窃取案,某企业网站被攻击者利用PHPCMS漏洞上传WebShell，攻击者通过WebShell查看数据库配置文件并窃取用户数据。关键证据:站点目录下发现异常PHP文件，Web日志显示多次命令执行请求。处置:1. 删除WebShell文件;2. 修复CMS漏洞;3. 修改数据库密码;4. 部署Web应用防火墙;5. 全量日志审计。系统恢复正常，数据泄露风险解除。,https://blog.csdn.net/m0_61869253/article/details/146569789,Web攻击(WebShell),高,Web应用服务器,成功处置，清除后门
Redis未授权访问导致挖矿病毒入侵,某政府单位内网多台服务器CPU资源被恶意占用，业务中断。攻击者利用Redis未授权访问漏洞入侵服务器，植入挖矿木马并修改crontab任务。关键证据:系统进程存在异常挖矿程序，crontab中有定时任务，Redis日志显示未授权连接。处置:1. 隔离受感染服务器;2. 结束挖矿进程;3. 配置Redis访问控制;4. 清理定时任务;5. 部署主机安全防护。挖矿病毒被彻底清除，业务恢复。,https://cloud.tencent.com/developer/article/2332973,主机入侵(挖矿病毒),中,应用服务器,成功清除病毒，系统恢复
